ImageNumber,ObjectNumber,FileName_Draq5,FileName_NBDglucose,PathName_Draq5,PathName_NBDglucose,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_Draq5,Intensity_IntegratedIntensityEdge_NBDglucose,Intensity_IntegratedIntensity_Draq5,Intensity_IntegratedIntensity_NBDglucose,Intensity_LowerQuartileIntensity_Draq5,Intensity_LowerQuartileIntensity_NBDglucose,Intensity_MADIntensity_Draq5,Intensity_MADIntensity_NBDglucose,Intensity_MassDisplacement_Draq5,Intensity_MassDisplacement_NBDglucose,Intensity_MaxIntensityEdge_Draq5,Intensity_MaxIntensityEdge_NBDglucose,Intensity_MaxIntensity_Draq5,Intensity_MaxIntensity_NBDglucose,Intensity_MeanIntensityEdge_Draq5,Intensity_MeanIntensityEdge_NBDglucose,Intensity_MeanIntensity_Draq5,Intensity_MeanIntensity_NBDglucose,Intensity_MedianIntensity_Draq5,Intensity_MedianIntensity_NBDglucose,Intensity_MinIntensityEdge_Draq5,Intensity_MinIntensityEdge_NBDglucose,Intensity_MinIntensity_Draq5,Intensity_MinIntensity_NBDglucose,Intensity_StdIntensityEdge_Draq5,Intensity_StdIntensityEdge_NBDglucose,Intensity_StdIntensity_Draq5,Intensity_StdIntensity_NBDglucose,Intensity_UpperQuartileIntensity_Draq5,Intensity_UpperQuartileIntensity_NBDglucose,Location_CenterMassIntensity_X_Draq5,Location_CenterMassIntensity_X_NBDglucose,Location_CenterMassIntensity_Y_Draq5,Location_CenterMassIntensity_Y_NBDglucose,Location_CenterMassIntensity_Z_Draq5,Location_CenterMassIntensity_Z_NBDglucose,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_Draq5,Location_MaxIntensity_X_NBDglucose,Location_MaxIntensity_Y_Draq5,Location_MaxIntensity_Y_NBDglucose,Location_MaxIntensity_Z_Draq5,Location_MaxIntensity_Z_NBDglucose,Number_Object_Number
1,1,Trial1_1-0002.tif,Trial1_1-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/AM/AM_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/AM/AM_FIP,3768,7719,93,213,0,130,49.3880042462845,172.5700636942675,20.346137394616424,5301,0.3859544571115797,69.26446855756632,-52,0.48814613291877185,0.04914937811560239,76.24298583216797,93.38094023943002,18.384776310850235,4.559343395598296,2.8284271247461903,76.51626137647838,70.33551427104406,-76.81784053314556,981.5249993622774,0.7108092812676854,3.8859693785198033,5.957107000052929,15.33031222736463,25.232303795404732,0.002426184481009841,0.006408789195120335,0.001144426641985774,0.00024414435029029846,1.380327632567377,0.06206249154905715,0.012527656741440296,0.00746166193857789,0.023193713277578354,0.009231708012521267,0.004260931336096276,0.006531915570233474,0.00406855420046832,0.006696471283281511,0.003524834057316184,0.006637674756348133,0.002288853283971548,0.006057831924408674,0.002243076218292117,0.006042572669684887,0.0019312544949466742,0.00023178967533203613,0.0018707937170574732,0.0003791799340655301,0.005050736479461193,0.0068970778957009315,48.29740551092531,49.38647337964524,171.7239556800861,172.63210730235576,0.0,0.0,49.3880042462845,172.5700636942675,0,75.0,59.0,169.0,141.0,0.0,0.0,1
1,2,Trial1_1-0002.tif,Trial1_1-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/AM/AM_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/AM/AM_FIP,10145,21500,452,279,280,154,375.0729423361262,206.0549038935436,33.512759063253455,14826,0.7028035637007176,113.65304739134022,-106,0.47186046511627905,0.02983938141627062,142.77826418610928,173.9683879329805,30.265491900843113,7.627651333193312,5.0,120.56878534678866,101.57016821340638,87.34655521979022,2066.9789309126895,0.6842708754890058,7.626199827762321,12.761639037635177,39.675853056134656,69.65420118300244,0.0023956664372235537,0.006469825282692909,0.0010528725106269121,0.0003051804378628731,1.9972398398565467,0.10384023690057885,0.01345845777541399,0.0077821011655032635,0.023468375205993652,0.011017014272511005,0.003906864665861844,0.0065377249168213,0.003910877580693411,0.0068658650747168495,0.0034180209040641785,0.006729228887706995,0.0022735942620784044,0.006057831924408674,0.0022735942620784044,0.005935759749263525,0.0017865727478323338,0.00024522294596900036,0.0017550305215026053,0.0005466981902410192,0.00474555604159832,0.00712596345692873,377.0609067374123,375.09008918130667,206.24716547870614,205.95248914607077,0.0,0.0,375.0729423361262,206.0549038935436,0,428.0,388.0,185.0,201.0,0.0,0.0,2
1,3,Trial1_1-0002.tif,Trial1_1-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/AM/AM_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/AM/AM_FIP,21031,50778,873,492,687,219,769.1465931244354,364.3726403879987,51.27306331075634,31465,0.8459950435914122,163.6383233393853,-191,0.4141754303044626,0.019503418275190407,261.65718226261527,274.37201023428025,41.23105625617661,8.897859991771593,5.830951894845301,177.22434567900626,139.5131917889401,-11.051548118243801,3681.1161953712863,0.6683934530430637,22.823438164312392,22.888258593156934,137.00726516428404,150.47184186335653,0.004013122990727425,0.006515602581202984,0.0021210042759776115,0.000396734569221735,8.231383894412554,2.44876498430493,0.022583352401852608,0.00781261920928955,0.02717631869018078,0.01335164438933134,0.006515397706055493,0.006533901967786735,0.006514538783903953,0.007154764008528198,0.005966277793049812,0.006851301062852144,0.0022735942620784044,0.006027313880622387,0.0022735942620784044,0.006027313880622387,0.003199089568380422,0.0002407015679565338,0.003238216646895972,0.0009376412037988076,0.008365758694708347,0.00746166193857789,770.2381195580001,768.1644521770683,356.2139486508374,366.6158187375426,0.0,0.0,769.1465931244354,364.3726403879987,0,772.0,742.0,318.0,423.0,0.0,0.0,3
1,4,Trial1_1-0002.tif,Trial1_1-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/AM/AM_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/AM/AM_FIP,3250,7209,921,310,832,229,872.4166153846154,267.8353846153846,21.12209795016175,4665,0.6499949081491939,64.32750982580687,-54,0.4508253571923984,0.04734378196519736,79.74486260627002,88.56635930193812,18.110770276274835,4.415341614141067,2.23606797749979,68.93484977508483,60.601196287541065,54.72305108721323,928.7848839920998,0.6966773847802786,4.652719984296709,5.823880473617464,16.532341714482754,21.89878729591146,0.0032501716632395983,0.006424048449844122,0.001495384145528078,0.00025940313935279846,0.6188937192047556,0.13707203433708706,0.021469444036483765,0.00747692072764039,0.02201876789331436,0.008941787295043468,0.005221907950950291,0.006536341721231722,0.005086874373687001,0.006738088398741988,0.004577706567943096,0.006652933545410633,0.002288853283971548,0.006073090713471174,0.0022735942620784044,0.006027313880622387,0.002495995394650795,0.00023879117341760295,0.002398045278929244,0.00042508665980180524,0.006355382734909654,0.006958113983273506,872.0609296009809,872.3119332888541,267.32890948372324,267.92387417083796,0.0,0.0,872.4166153846154,267.8353846153846,0,867.0,871.0,266.0,279.0,0.0,0.0,4
1,5,Trial1_1-0002.tif,Trial1_1-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/AM/AM_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/AM/AM_FIP,3961,12566,318,613,215,491,256.82150971976773,555.909366321636,38.00046847052198,6250,0.8519314642243482,71.01620826752144,-92,0.3152156613082922,0.026315465052114496,114.21664217986525,141.4955829699288,9.219544457292887,2.3489994132725336,2.0,66.46340183728022,59.80992177384113,38.523779600839596,1375.313887967734,0.63376,5.283070175442845,8.50669122627005,16.249164761509746,26.26289814710617,0.002460517280269414,0.006378271151334047,0.0012054629623889923,0.00021362630650401115,1.8174154737736044,0.046793409635453545,0.014816510491073132,0.007614252157509327,0.03443961217999458,0.00874341931194067,0.004054543496118837,0.00652854276766696,0.00410228850328446,0.006630370650620088,0.0036011291667819023,0.0065766386687755585,0.0022735942620784044,0.0060120546258986,0.0022735942620784044,0.005981536582112312,0.001831440580108761,0.00024175610004737043,0.0019167839733433226,0.00033413873671921227,0.005020218435674906,0.00680552376434207,255.07893403314046,256.804857714586,555.3931987319064,555.8656360814269,0.0,0.0,256.82150971976773,555.909366321636,0,251.0,251.0,570.0,535.0,0.0,0.0,5
1,6,Trial1_1-0002.tif,Trial1_1-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/AM/AM_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/AM/AM_FIP,3711,7038,540,665,438,596,483.8490972783616,628.6478038264619,14.886206942427155,5288,0.7721366455584912,68.7385768729044,-36,0.5272804774083546,0.06717627961693194,91.14312131251091,101.39033484509261,20.615528128088304,5.787633430164706,4.0,66.20547031932361,57.9174915356386,80.13066556648714,833.1869042456531,0.7017776096822995,3.9663081374019384,5.171923491638154,18.507088074460626,25.485023709014058,0.0031586175318807364,0.0064850845374166965,0.001480125356465578,0.0002975510433316231,3.234293918270211,0.21251018840726224,0.01873807981610298,0.007553216069936752,0.01879911497235298,0.009597924537956715,0.005014296001772362,0.006538462062753671,0.004987089214352095,0.006867427569122624,0.0045166704803705215,0.006736858282238245,0.0022735942620784044,0.006027313880622387,0.0022583352401852608,0.0059967958368361,0.002614133176546369,0.00024295007800864446,0.002366576291305965,0.0005263025913785079,0.006271458230912685,0.00712596345692873,486.7939650395381,484.05420374638595,629.985118680542,628.7034088347928,0.0,0.0,483.8490972783616,628.6478038264619,0,495.0,486.0,644.0,627.0,0.0,0.0,6
1,7,Trial1_1-0002.tif,Trial1_1-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/AM/AM_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/AM/AM_FIP,12986,29887,891,897,748,688,825.2135376559372,793.0877098413677,52.0229870970501,19401,0.7683382289465314,128.58572521058014,-174,0.4345032957473149,0.0192222718417625,175.99322076214492,214.64622055838765,29.966648127543394,6.617246679219901,3.605551275463989,128.70990575491084,112.64341103929193,19.7105343833186,2913.669406495811,0.6693469408793361,12.616373106837273,18.119020680431277,58.17306860582903,88.30986643955112,0.0026245517656207085,0.006439307238906622,0.0014648661017417908,0.00027466239407658577,6.26534939931047,0.3096053030935064,0.018661784008145332,0.0076905470341444016,0.01902800053358078,0.009933623485267162,0.004546440759220639,0.006529376821777037,0.004479675697353229,0.006800390146276846,0.003921568859368563,0.00668345158919692,0.0022735942620784044,0.0059967958368361,0.0022583352401852608,0.0059967958368361,0.0022460159530907466,0.0002394636456653599,0.0021804628931527824,0.0004972813798701217,0.005600061267614365,0.007019150070846081,824.5429656350119,825.1732623003048,786.8583490186032,793.3946843344975,0.0,0.0,825.2135376559372,793.0877098413677,0,780.0,803.0,762.0,786.0,0.0,0.0,7
1,8,Trial1_1-0002.tif,Trial1_1-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/AM/AM_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/AM/AM_FIP,4926,15092,787,966,689,812,742.8436865611044,884.4768574908647,48.42490354715879,8265,0.8978593188678086,79.19582058016327,-122,0.32639809170421413,0.020650531580845503,135.14546397993874,164.1584600317632,14.317821063276353,3.062269696524123,2.0,79.59947815832038,59.50217717602696,24.5966987596263,1731.356564548603,0.5960072595281307,6.75172053813003,10.815366014372557,19.485282900976017,32.762219215743244,0.0024109254591166973,0.006393530406057835,0.001144426641985774,0.00021362630650401115,0.5585785126872582,0.05090292163051816,0.024521248415112495,0.007629510946571827,0.024521248415112495,0.00860608834773302,0.004077125928822482,0.00653101812462111,0.0039555994520860775,0.00665087682008592,0.003524834057316184,0.0065918974578380585,0.0022735942620784044,0.006027313880622387,0.0022583352401852608,0.0059967958368361,0.0018699258566848768,0.00023713549469653466,0.0017324419941419085,0.0003529279013555736,0.004852368962019682,0.006836041808128357,742.3514058216795,742.8904545324942,884.212907441751,884.4567611160026,0.0,0.0,742.8436865611044,884.4768574908647,0,691.0,755.0,887.0,896.0,0.0,0.0,8
1,9,Trial1_1-0002.tif,Trial1_1-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/AM/AM_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/AM/AM_FIP,3851,10379,582,942,475,845,528.5801090625812,890.3334198909374,68.49507713191953,6638,0.8123186274058842,70.02317821104032,-110,0.37103767222275746,0.01459958937010946,111.28668277428885,122.29881438509533,6.708203932499369,1.7442112143798598,1.4142135623730951,78.58340379082183,64.90393974611695,55.579344919924985,1820.6286424872455,0.5801446218740585,8.64518208312802,11.464027056004852,18.240573982940987,25.428748433943838,0.002944991225376725,0.006378271151334047,0.0014648661017417908,0.00019836705178022385,1.7491377371225216,0.026072685127048176,0.016327153891324997,0.007492179982364178,0.016327153891324997,0.00862134713679552,0.004923224420915729,0.006528489211847866,0.004736581143324068,0.006603154618006709,0.004318303428590298,0.006546120624989271,0.002288853283971548,0.006057831924408674,0.002288853283971548,0.006042572669684887,0.0022890142827022147,0.00023711773642073718,0.0021675598779637094,0.0003144549675723058,0.005878538358956575,0.006759746931493282,527.8436024405901,528.5734872505233,888.7469014324286,890.358637672656,0.0,0.0,528.5801090625812,890.3334198909374,0,541.0,520.0,859.0,905.0,0.0,0.0,9
1,10,Trial1_1-0002.tif,Trial1_1-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/AM/AM_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/AM/AM_FIP,2335,5490,177,1024,116,934,144.24368308351177,983.1233404710921,53.841839020250504,4437,0.8378562295394126,54.525354991568875,-67,0.42531876138433516,0.01857291686533755,92.49100928597593,94.70480452437458,5.385164807134504,1.528086103230044,1.0,59.12828719567674,50.49000571598539,2.2296608468138306,1256.9219689819474,0.5262564796033355,5.108186533441767,7.787197813857347,9.978225506609306,15.39517841860652,0.0026703288313001394,0.006363012362271547,0.0012664988171309233,0.00019836705178022385,1.572742228163963,0.005301589325617285,0.01753261685371399,0.0073853665962815285,0.01753261685371399,0.007965209893882275,0.0042889895326966975,0.006538369281156462,0.004273329981417262,0.00659322416214412,0.003753719385713339,0.006546120624989271,0.0022735942620784044,0.006073090713471174,0.0022735942620784044,0.005951018538326025,0.0019711125434584416,0.00023440840145672265,0.0019525265951027162,0.00029443329009053116,0.00520332669839263,0.006763561628758907,145.39230001994852,144.2446975635182,984.1976761958917,983.1181368493059,0.0,0.0,144.24368308351177,983.1233404710921,0,156.0,151.0,1014.0,959.0,0.0,0.0,10
