ImageNumber,ObjectNumber,FileName_Draq5,FileName_NBDglucose,PathName_Draq5,PathName_NBDglucose,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_Draq5,Intensity_IntegratedIntensityEdge_NBDglucose,Intensity_IntegratedIntensity_Draq5,Intensity_IntegratedIntensity_NBDglucose,Intensity_LowerQuartileIntensity_Draq5,Intensity_LowerQuartileIntensity_NBDglucose,Intensity_MADIntensity_Draq5,Intensity_MADIntensity_NBDglucose,Intensity_MassDisplacement_Draq5,Intensity_MassDisplacement_NBDglucose,Intensity_MaxIntensityEdge_Draq5,Intensity_MaxIntensityEdge_NBDglucose,Intensity_MaxIntensity_Draq5,Intensity_MaxIntensity_NBDglucose,Intensity_MeanIntensityEdge_Draq5,Intensity_MeanIntensityEdge_NBDglucose,Intensity_MeanIntensity_Draq5,Intensity_MeanIntensity_NBDglucose,Intensity_MedianIntensity_Draq5,Intensity_MedianIntensity_NBDglucose,Intensity_MinIntensityEdge_Draq5,Intensity_MinIntensityEdge_NBDglucose,Intensity_MinIntensity_Draq5,Intensity_MinIntensity_NBDglucose,Intensity_StdIntensityEdge_Draq5,Intensity_StdIntensityEdge_NBDglucose,Intensity_StdIntensity_Draq5,Intensity_StdIntensity_NBDglucose,Intensity_UpperQuartileIntensity_Draq5,Intensity_UpperQuartileIntensity_NBDglucose,Location_CenterMassIntensity_X_Draq5,Location_CenterMassIntensity_X_NBDglucose,Location_CenterMassIntensity_Y_Draq5,Location_CenterMassIntensity_Y_NBDglucose,Location_CenterMassIntensity_Z_Draq5,Location_CenterMassIntensity_Z_NBDglucose,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_Draq5,Location_MaxIntensity_X_NBDglucose,Location_MaxIntensity_Y_Draq5,Location_MaxIntensity_Y_NBDglucose,Location_MaxIntensity_Z_Draq5,Location_MaxIntensity_Z_NBDglucose,Number_Object_Number
1,1,Trial1_6-0002.tif,Trial1_6-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,6025,26533,977,449,808,292,892.050622406639,367.0079668049793,25.57761953803374,11453,0.9696272943501963,87.58577656805559,1,0.227075717031621,0.03909667975602683,209.17500170209664,202.2325394193526,17.0,4.676173636332512,3.605551275463989,67.357510618455,51.16153295678262,45.67325496548132,1391.5971131946694,0.5260630402514624,4.940199952106923,8.053223624825478,23.30333436629735,37.54699085699394,0.0023956664372235537,0.0061799040995538235,0.0010833905544131994,6.103608757257462e-05,0.15153872372854252,0.00750385028640791,0.008499274961650372,0.006759746931493282,0.011367971077561378,0.007003891281783581,0.003823684173457371,0.006233145220453156,0.0038677733388045392,0.006231865702405634,0.0034637979697436094,0.006225680932402611,0.002288853283971548,0.005981536582112312,0.0022583352401852608,0.005966277793049812,0.0012944056802514754,8.721000293707097e-05,0.0016113437652449973,8.849997488628737e-05,0.00474555604159832,0.006286717019975185,891.9347976302453,892.0576727691904,366.9102498363269,367.0105358820539,0.0,0.0,892.050622406639,367.0079668049793,0,933.0,834.0,401.0,300.0,0.0,0.0,1
1,2,Trial1_6-0002.tif,Trial1_6-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,20177,39904,485,551,253,379,387.2721415473063,452.56247212172275,11.937448702779411,27038,0.7273478232797105,160.28148456425458,1,0.5056385324779471,0.083769993480028,202.99187805449608,236.01906702637396,59.53990258641679,18.672116905583895,15.264337522473747,163.47738023734416,139.3070336943745,87.06921822717088,1739.7585848021565,0.7462460241142096,6.11462586116977,10.045777256134897,132.62066229386255,126.62609526794404,0.0035858701448887587,0.0061951628886163235,0.0022735942620784044,6.103608757257462e-05,9.202087511041864,0.2244460005412506,0.010833906009793282,0.007171740289777517,0.032654307782649994,0.00759899290278554,0.0037979042615961306,0.00623961320256826,0.006572863274711927,0.00627576424978659,0.005493247881531715,0.006256198976188898,0.0022735942620784044,0.005935759749263525,0.0022583352401852608,0.005935759749263525,0.001239301641445835,0.00010263141393494783,0.003942328483029798,0.00014648892662154356,0.008545052260160446,0.006317235063761473,396.1380677807244,387.4965870120719,455.0269734068638,452.56198170851627,0.0,0.0,387.2721415473063,452.56247212172275,0,419.0,462.0,473.0,414.0,0.0,0.0,2
1,3,Trial1_6-0002.tif,Trial1_6-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,5302,18871,1024,670,911,503,962.2744247453791,578.1110901546587,21.469016143227748,10629,0.9564792779708441,82.16274135023632,1,0.28096020348683165,0.04657875299588161,186.5429473456703,170.07351351694948,17.204650534085253,4.349747648862251,3.1622776601683795,87.46273512756848,54.433280241381695,-22.943312791385722,1195.999133448223,0.4988239721516606,4.204089479520917,6.8569162781350315,21.092317334841937,33.057756014633924,0.0024109254591166973,0.0061799040995538235,0.0012054627295583487,6.103608757257462e-05,1.5035754646063337,0.004328872080176553,0.00869764294475317,0.006958113983273506,0.016769664362072945,0.006958113983273506,0.0038218995268371973,0.006233560252850028,0.003978181315511494,0.006234959640632577,0.0036011291667819023,0.006225680932402611,0.0022583352401852608,0.005951018538326025,0.002243076218292117,0.005935759749263525,0.0012389608671656341,9.342698147872011e-05,0.0017142095276302318,9.078283860949014e-05,0.004859998589381576,0.006286717019975185,962.700053187082,962.2783003395239,576.6690153967561,578.1130186005385,0.0,0.0,962.2744247453791,578.1110901546587,0,931.0,961.0,646.0,579.0,0.0,0.0,3
1,4,Trial1_6-0002.tif,Trial1_6-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,5911,17098,139,881,56,675,100.47809169345288,775.3916427000507,19.34504711267139,8739,0.9812131911988379,86.75320713915738,1,0.34571294888291026,0.05169281802084525,208.73266077447508,214.75800334329801,17.88854381999832,5.327713111999944,4.123105625617661,49.61697617269808,40.27008278469687,14.957036688401004,1198.7270555095806,0.6763931799977114,4.1197833709884435,6.7974366107955575,23.90037413663231,36.84866172261536,0.002426184481009841,0.0061799040995538235,0.0012207217514514923,6.103608757257462e-05,0.23119105493725764,0.004858387838434524,0.007873655296862125,0.006912337150424719,0.03826962783932686,0.007110704202204943,0.0037796177715490307,0.006236180376876658,0.004043372379738168,0.006233913334903631,0.003616388188675046,0.006225680932402611,0.0022735942620784044,0.005966277793049812,0.0022735942620784044,0.005920500494539738,0.0012337295851237845,8.776836824284568e-05,0.0018181574535639314,8.90641236711916e-05,0.004959182348102331,0.006286717019975185,100.25899324944652,100.47744212336823,775.3178512661509,775.3964574680715,0.0,0.0,100.47809169345288,775.3916427000507,0,129.0,124.0,843.0,822.0,0.0,0.0,4
2,1,Trial2_10-0002.tif,Trial2_10-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,5412,10400,490,292,386,192,435.0251293422025,244.4451219512195,9.471785809522382,7522,0.7042867748733693,83.01067651878704,1,0.5203846153846153,0.10557671173208522,107.46176666142586,121.2023102090055,23.08679276123039,6.9609431520002945,5.830951894845301,93.75223255108297,76.28878301364911,48.992684814459906,802.6011178080263,0.7194894974740761,2.5923094814643264,4.603296032641083,21.115480525186285,33.74944749427959,0.0023956664372235537,0.0061799040995538235,0.0010833905544131994,6.103608757257462e-05,1.1072397252120478,0.017490571624159294,0.008331426419317722,0.007049668114632368,0.01361104752868414,0.007186999544501305,0.0035126144735288974,0.006237528499513662,0.003901603940352233,0.006236039817863931,0.0034637979697436094,0.006225680932402611,0.0022583352401852608,0.0059967958368361,0.0022583352401852608,0.005935759749263525,0.001124246313159365,9.728165676463452e-05,0.0016929819670970787,9.675448369463026e-05,0.004791332874447107,0.006286717019975185,435.8780845422844,435.04261248177374,245.15112990849823,244.44563178106552,0.0,0.0,435.0251293422025,244.4451219512195,0,429.0,461.0,224.0,227.0,0.0,0.0,1
2,2,Trial2_10-0002.tif,Trial2_10-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,9740,17615,65,605,0,334,21.397022587268992,478.4165297741273,10.869154085345366,12827,0.9720867583643705,111.36136298429759,1,0.5529378370706785,0.09200347995326308,245.2392244528278,270.0018518455012,26.0,8.883990290304018,8.0,64.0,57.53843961997112,1.5498548637894907,1153.4062043356594,0.7593357760972947,3.019516321597621,5.351705292239785,50.999466623645276,61.83183144591749,0.003128099488094449,0.006210422143340111,0.0017090104520320892,9.155413135886192e-05,4.278484652595913,0.1400867404084369,0.008194094523787498,0.006958113983273506,0.023376822471618652,0.008087282069027424,0.0035274723383149774,0.006251992163831524,0.00523608486895742,0.006348237314775923,0.004577706567943096,0.006286717019975185,0.0023041123058646917,0.005981536582112312,0.0022735942620784044,0.005951018538326025,0.0011064384953456056,0.00011688483422477237,0.0027117099765445103,0.0002234947271545999,0.00666819280013442,0.006408789195120335,19.34996783274194,21.25745919356834,482.17352295411405,478.40443208934806,0.0,0.0,21.397022587268992,478.4165297741273,0,3.0,14.0,509.0,529.0,0.0,0.0,2
2,3,Trial2_10-0002.tif,Trial2_10-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,19749,39600,576,713,378,513,479.7490505848397,608.747227707732,14.228426785741329,26916,0.8103377950929764,158.5724054461391,1,0.4987121212121212,0.07028183895932372,218.47104293861003,230.9502110845539,53.9351462406472,16.4133443004019,13.601470508735444,154.2886904474855,128.0159515503693,40.59870885956525,1879.1261171703036,0.7337271511368703,6.322056992910802,10.956283105071634,112.0968809616752,127.06216753926128,0.0030518043786287308,0.006210422143340111,0.0019684135913848877,0.00010681292042136192,5.440851545956932,0.7808442730886012,0.014343480579555035,0.008331426419317722,0.02830548584461212,0.010376134887337685,0.0036312791458419313,0.006293097705382903,0.005676078837494314,0.006433853235063106,0.004715037997812033,0.006286717019975185,0.0022583352401852608,0.0059967958368361,0.0022278171963989735,0.005905241705477238,0.0012642425808825576,0.00024044775788410443,0.0034020841314378503,0.00041232979561676677,0.007217517588287592,0.0064850845374166965,483.5861229771291,479.37975175542505,612.6046544408629,609.4352220052434,0.0,0.0,479.7490505848397,608.747227707732,0,439.0,448.0,526.0,636.0,0.0,0.0,3
3,1,Trial2_11-0002.tif,Trial2_11-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,11843,21632,285,573,77,469,194.89470573334458,514.6636831883814,8.689105640325817,15304,0.9098363812570394,122.79648174234688,1,0.5474759615384616,0.11508664313609412,204.14007026623005,212.26869764522513,37.656340767525464,11.448478492035429,9.433981132056603,95.9638577120569,84.71142900394184,78.73024995279629,1137.1646096690667,0.7738499738630423,4.329701757058501,6.375036359298974,55.834455664036795,74.40901944460347,0.0030212863348424435,0.0061799040995538235,0.0013962006196379662,6.103608757257462e-05,2.047550823388619,0.2911247841398975,0.013427939265966415,0.007522698026150465,0.021484702825546265,0.007843137718737125,0.004257327194747789,0.006268472329694174,0.004714553378707827,0.006282953596605883,0.00429541477933526,0.006240940187126398,0.0023041123058646917,0.005981536582112312,0.0022583352401852608,0.005951018538326025,0.0015234947511272245,0.00016187151719321177,0.002131609162196066,0.00016236515092615412,0.005859464406967163,0.00633249431848526,196.90323908596076,195.18241774957735,515.0614999122478,514.7081290617081,0.0,0.0,194.89470573334458,514.6636831883814,0,248.0,275.0,501.0,561.0,0.0,0.0,1
3,2,Trial2_11-0002.tif,Trial2_11-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,20441,37088,507,603,263,451,370.17445330463283,536.0972065945894,10.860910816823056,26053,0.8529739106113524,161.32665475342708,1,0.5511486194995686,0.09207330921556281,230.8552640095952,246.6191395654441,52.03844732503075,16.69190035220004,13.92838827718412,141.15275669458936,120.4957244663058,75.34691489100555,1670.2794000823278,0.7845929451502706,6.390783644746989,9.650995828211308,106.84687723778188,134.97033883072436,0.0033722438383847475,0.006301976274698973,0.0015411614440381527,0.00022888509556651115,1.057687480785896,0.19695480069233703,0.010620279237627983,0.00805676355957985,0.02240024507045746,0.009933623485267162,0.004286239869045599,0.006472834224152453,0.005227086602308199,0.006602922500402346,0.00474555604159832,0.0065003433264791965,0.002288853283971548,0.005951018538326025,0.0022735942620784044,0.005951018538326025,0.0014597487802573696,0.0003028973833505498,0.0024193002776647155,0.0004060165600778787,0.006546120624989271,0.00679026497527957,369.45607571969987,370.2326489026979,536.8735032211936,535.9090458497949,0.0,0.0,370.17445330463283,536.0972065945894,0,351.0,350.0,516.0,523.0,0.0,0.0,2
3,3,Trial2_11-0002.tif,Trial2_11-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,16445,32256,873,608,681,440,782.3083003952569,524.7492246883551,8.62144732386842,21908,0.5955761709839943,144.70115518947924,1,0.509827628968254,0.11598980570599864,169.45547541627738,193.18902660347973,48.010415536631214,15.566986692218693,13.038404810405298,151.20960999171368,136.12338664481803,46.23213998554916,1334.7869760331528,0.7506390359685959,5.130144273629412,7.532387409824878,85.0827356276568,104.0501887947321,0.0033264667727053165,0.0061951628886163235,0.0015411609783768654,7.629534229636192e-05,2.172105305895236,0.5537886778592098,0.015579461120069027,0.007629510946571827,0.023041123524308205,0.008239871822297573,0.004296603244245739,0.006308532169032561,0.005173775349811906,0.00632716259013269,0.004715037997812033,0.006271458230912685,0.002288853283971548,0.0059967958368361,0.0022583352401852608,0.005920500494539738,0.001587768494386037,0.00021002241142001,0.0023971543062721963,0.00021657681981273864,0.0065003433264791965,0.006378271151334047,783.3794880068982,782.4250060342997,526.6388274404076,525.290576416477,0.0,0.0,782.3083003952569,524.7492246883551,0,757.0,832.0,512.0,578.0,0.0,0.0,3
